id,restaurant_id,title,logo,cover,compact,forRamadan,forHalfReady,index,isActive,type,sub_id,sub_id,sub_title,sub_description,sub_img,sub_priceLabel,sub_index,sub_food_id,sub_food_img,sub_food_archive,sub_food_ingredient,sub_food_title,sub_food_stock,sub_food_available,sub_food_unavailableText,sub_food_price,sub_food_discount,sub_food_discountPercentage,sub_food_index,sub_food_foodTag,sub_food_saleOnRamadan,sub_food_saleOnBreakfast,sub_food_saleOnNoon,sub_food_saleOnNight,sub_food_saturday,sub_food_sunday,sub_food_monday,sub_food_tuesday,sub_food_wedensday,sub_food_thursday,sub_food_thursday,sub_food_friday,sub_food_delinoRecommendation,sub_food_halfReady,sub_food_pickupOnly
24066,e695c5db-f227-4450-ba84-d6a47371b0d5,پیتزا,7,,False,False,False,1,False,,0,0,,,,,0,289275,https://static.delino.com/Image/Restaurant/Food/uznloebm.jek_#SIZEOFIMAGE#.jpg,True,نان پیتزا سایز 30 ، قارچ و پنیر،ذرت و زیتون،فلفل دلمه,پیتزا قارچ و پنیر دونفره,True,True,همه روزه در وعد‌ه‌های ناهار و شام,130000,26000,20,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24066,e695c5db-f227-4450-ba84-d6a47371b0d5,پیتزا,7,,False,False,False,1,False,,0,0,,,,,0,289276,https://static.delino.com/Image/Restaurant/Food/eqpoassd.4iq_#SIZEOFIMAGE#.jpg,True, نان پیتزا سایز 27، مرغ طعم دار، قارچ، پنیر، فلفل دلمه و زیتون،  ذرت,پیتزا مرغ و قارچ تک نفره,True,True,همه روزه در وعد‌ه‌های ناهار و شام,138000,27600,20,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24066,e695c5db-f227-4450-ba84-d6a47371b0d5,پیتزا,7,,False,False,False,1,False,,0,0,,,,,0,289277,,False, نان پیتزا سایز 30مرغ طعم دار، قارچ، پنیر، فلفل دلمه و زیتون  و ذرت,پیتزا قارچ و مر غ دونفره,True,True,همه روزه در وعد‌ه‌های ناهار و شام,210000,42000,20,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24066,e695c5db-f227-4450-ba84-d6a47371b0d5,پیتزا,7,,False,False,False,1,False,,0,0,,,,,0,289278,https://static.delino.com/Image/Restaurant/Food/qnl3ysuo.ak0_#SIZEOFIMAGE#.jpg,True,نان پیتزا سایز 25، گوشت چرخ کرده طعم دار، قارچ، پنیر، فلفل دلمه، زیتون، ذرت ,پیتزا گوشت و قارچ تک نفره,True,True,همه روزه در وعد‌ه‌های ناهار و شام,138000,27600,20,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24066,e695c5db-f227-4450-ba84-d6a47371b0d5,پیتزا,7,,False,False,False,1,False,,0,0,,,,,0,289279,https://static.delino.com/Image/Restaurant/Food/dxzol1lf.mpg_#SIZEOFIMAGE#.jpg,True," نان پیتزا سایز 30-گوشت چرخ کرده طعم دار، قارچ، پنیر، فلفل دلمه و زیتون، ذرت
",پیتزا قارچ و گوشت دونفره,True,True,همه روزه در وعد‌ه‌های ناهار و شام,215000,43000,20,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24066,e695c5db-f227-4450-ba84-d6a47371b0d5,پیتزا,7,,False,False,False,1,False,,0,0,,,,,0,289280,,False,نان پیتزا سایز 30 ، قارچ و پنیر، گوجه وزیتون، ذرت و فلفل دلمه,پیتزا مارگاریتا دونفره,True,True,همه روزه در وعد‌ه‌های ناهار و شام,125000,25000,20,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24066,e695c5db-f227-4450-ba84-d6a47371b0d5,پیتزا,7,,False,False,False,1,False,,0,0,,,,,0,289283,https://static.delino.com/Image/Restaurant/Food/1gu5vq4g.dbm_#SIZEOFIMAGE#.jpg,True,نان پیتزا سایز 27-گوشت طعم دار شده چرخ کرده، ژامبون میکس، سوسیس، قارچ، پنیر، فلفل دلمه، زیتون، ذرت,پیتزا مخصوص کی اف اس یک نفره,True,True,همه روزه در وعد‌ه‌های ناهار و شام,160500,27000,20,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24066,e695c5db-f227-4450-ba84-d6a47371b0d5,پیتزا,7,,False,False,False,1,False,,0,0,,,,,0,289321,,False,نان سایز 27 ، قارچ و پنیر، گوجه و زیتون,پیتزا ماگاریتا تکنفره ,True,True,همه روزه در وعد‌ه‌های ناهار و شام,100000,20000,20,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,526477,,False,,چهار تکه کنتاکی,True,True,همه روزه در وعد‌ه‌های ناهار و شام,170000,0,0,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,526478,,False,,پنج تکه کنتاکی,True,True,همه روزه در وعد‌ه‌های ناهار و شام,190000,0,0,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,526479,,False,,هفت تکه کنتاکی,True,True,همه روزه در وعد‌ه‌های ناهار و شام,230000,0,0,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,526482,,False,,نه تکه کنتاکی,True,True,همه روزه در وعد‌ه‌های ناهار و شام,280000,0,0,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,289314,https://static.delino.com/Image/Restaurant/Food/jwuts0sp.qoc_#SIZEOFIMAGE#.jpg,True,نیم کیلو گرم سینه ، همراه با   پودر کنتاکی، تشکیل شده از 30 نوع ادویه خاص کوهی، نان، سس مخصوص,نیم کیلوگرم سینه کنتاکی,True,True,همه روزه در وعد‌ه‌های ناهار و شام,115000,0,0,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
